subject,sequence,image_index,filepath,file_prefix,AU17,AU1,AU2,AU25,AU27,AU4,AU7,AU23,AU24,AU6,AU12,AU15,AU14,AU11,AU26,high_level_emotion
S005,1,11,./cohn-kanade-images/S005/001/S005_001_00000011.png,S005_001_00000011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
S010,1,14,./cohn-kanade-images/S010/001/S010_001_00000014.png,S010_001_00000014,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,negative
S010,2,14,./cohn-kanade-images/S010/002/S010_002_00000014.png,S010_002_00000014,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S010,3,18,./cohn-kanade-images/S010/003/S010_003_00000018.png,S010_003_00000018,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,negative
S010,4,19,./cohn-kanade-images/S010/004/S010_004_00000019.png,S010_004_00000019,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,negative
S010,5,16,./cohn-kanade-images/S010/005/S010_005_00000016.png,S010_005_00000016,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,negative
S010,6,15,./cohn-kanade-images/S010/006/S010_006_00000015.png,S010_006_00000015,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S011,1,16,./cohn-kanade-images/S011/001/S011_001_00000016.png,S011_001_00000016,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S011,2,22,./cohn-kanade-images/S011/002/S011_002_00000022.png,S011_002_00000022,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,negative
S011,3,14,./cohn-kanade-images/S011/003/S011_003_00000014.png,S011_003_00000014,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,negative
S011,4,21,./cohn-kanade-images/S011/004/S011_004_00000021.png,S011_004_00000021,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,negative
S011,5,20,./cohn-kanade-images/S011/005/S011_005_00000020.png,S011_005_00000020,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,negative
S011,6,13,./cohn-kanade-images/S011/006/S011_006_00000013.png,S011_006_00000013,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S014,1,29,./cohn-kanade-images/S014/001/S014_001_00000029.png,S014_001_00000029,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,surprise
S014,2,16,./cohn-kanade-images/S014/002/S014_002_00000016.png,S014_002_00000016,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,negative
S014,3,30,./cohn-kanade-images/S014/003/S014_003_00000030.png,S014_003_00000030,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,negative
S014,4,19,./cohn-kanade-images/S014/004/S014_004_00000019.png,S014_004_00000019,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,negative
S014,5,17,./cohn-kanade-images/S014/005/S014_005_00000017.png,S014_005_00000017,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S022,1,30,./cohn-kanade-images/S022/001/S022_001_00000030.png,S022_001_00000030,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S022,2,17,./cohn-kanade-images/S022/002/S022_002_00000017.png,S022_002_00000017,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,negative
S022,3,33,./cohn-kanade-images/S022/003/S022_003_00000033.png,S022_003_00000033,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,positive
S022,4,23,./cohn-kanade-images/S022/004/S022_004_00000023.png,S022_004_00000023,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,negative
S022,5,32,./cohn-kanade-images/S022/005/S022_005_00000032.png,S022_005_00000032,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,negative
S022,6,17,./cohn-kanade-images/S022/006/S022_006_00000017.png,S022_006_00000017,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,negative
S026,1,15,./cohn-kanade-images/S026/001/S026_001_00000015.png,S026_001_00000015,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S026,2,16,./cohn-kanade-images/S026/002/S026_002_00000016.png,S026_002_00000016,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,negative
S026,3,15,./cohn-kanade-images/S026/003/S026_003_00000015.png,S026_003_00000015,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,negative
S026,4,12,./cohn-kanade-images/S026/004/S026_004_00000012.png,S026_004_00000012,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,negative
S026,5,14,./cohn-kanade-images/S026/005/S026_005_00000014.png,S026_005_00000014,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,negative
S026,6,13,./cohn-kanade-images/S026/006/S026_006_00000013.png,S026_006_00000013,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S028,1,24,./cohn-kanade-images/S028/001/S028_001_00000024.png,S028_001_00000024,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,negative
S029,1,19,./cohn-kanade-images/S029/001/S029_001_00000019.png,S029_001_00000019,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,negative
S032,1,22,./cohn-kanade-images/S032/001/S032_001_00000022.png,S032_001_00000022,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S032,2,21,./cohn-kanade-images/S032/002/S032_002_00000021.png,S032_002_00000021,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,negative
S032,3,17,./cohn-kanade-images/S032/003/S032_003_00000017.png,S032_003_00000017,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,negative
S032,4,14,./cohn-kanade-images/S032/004/S032_004_00000014.png,S032_004_00000014,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,negative
S032,5,16,./cohn-kanade-images/S032/005/S032_005_00000016.png,S032_005_00000016,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,negative
S032,6,16,./cohn-kanade-images/S032/006/S032_006_00000016.png,S032_006_00000016,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S034,1,29,./cohn-kanade-images/S034/001/S034_001_00000029.png,S034_001_00000029,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,surprise
S034,2,33,./cohn-kanade-images/S034/002/S034_002_00000033.png,S034_002_00000033,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,negative
S034,3,27,./cohn-kanade-images/S034/003/S034_003_00000027.png,S034_003_00000027,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,negative
S034,4,37,./cohn-kanade-images/S034/004/S034_004_00000037.png,S034_004_00000037,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,negative
S034,5,10,./cohn-kanade-images/S034/005/S034_005_00000010.png,S034_005_00000010,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S035,1,15,./cohn-kanade-images/S035/001/S035_001_00000015.png,S035_001_00000015,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S035,2,10,./cohn-kanade-images/S035/002/S035_002_00000010.png,S035_002_00000010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,negative
S035,3,15,./cohn-kanade-images/S035/003/S035_003_00000015.png,S035_003_00000015,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,negative
S035,4,16,./cohn-kanade-images/S035/004/S035_004_00000016.png,S035_004_00000016,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,negative
S035,5,19,./cohn-kanade-images/S035/005/S035_005_00000019.png,S035_005_00000019,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,negative
S035,6,18,./cohn-kanade-images/S035/006/S035_006_00000018.png,S035_006_00000018,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S037,1,20,./cohn-kanade-images/S037/001/S037_001_00000020.png,S037_001_00000020,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S037,2,17,./cohn-kanade-images/S037/002/S037_002_00000017.png,S037_002_00000017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,negative
S037,3,22,./cohn-kanade-images/S037/003/S037_003_00000022.png,S037_003_00000022,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,negative
S037,4,66,./cohn-kanade-images/S037/004/S037_004_00000066.png,S037_004_00000066,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,negative
S037,5,22,./cohn-kanade-images/S037/005/S037_005_00000022.png,S037_005_00000022,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,negative
S037,6,21,./cohn-kanade-images/S037/006/S037_006_00000021.png,S037_006_00000021,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S042,1,19,./cohn-kanade-images/S042/001/S042_001_00000019.png,S042_001_00000019,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S042,2,16,./cohn-kanade-images/S042/002/S042_002_00000016.png,S042_002_00000016,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,negative
S042,3,14,./cohn-kanade-images/S042/003/S042_003_00000014.png,S042_003_00000014,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,negative
S042,4,20,./cohn-kanade-images/S042/004/S042_004_00000020.png,S042_004_00000020,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,negative
S042,5,19,./cohn-kanade-images/S042/005/S042_005_00000019.png,S042_005_00000019,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,negative
S042,6,17,./cohn-kanade-images/S042/006/S042_006_00000017.png,S042_006_00000017,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S044,1,24,./cohn-kanade-images/S044/001/S044_001_00000024.png,S044_001_00000024,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S044,2,18,./cohn-kanade-images/S044/002/S044_002_00000018.png,S044_002_00000018,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,positive
S044,3,14,./cohn-kanade-images/S044/003/S044_003_00000014.png,S044_003_00000014,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S044,4,29,./cohn-kanade-images/S044/004/S044_004_00000029.png,S044_004_00000029,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,negative
S044,5,29,./cohn-kanade-images/S044/005/S044_005_00000029.png,S044_005_00000029,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,negative
S044,6,19,./cohn-kanade-images/S044/006/S044_006_00000019.png,S044_006_00000019,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,negative
S045,1,30,./cohn-kanade-images/S045/001/S045_001_00000030.png,S045_001_00000030,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,positive
S045,2,14,./cohn-kanade-images/S045/002/S045_002_00000014.png,S045_002_00000014,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,negative
S045,3,17,./cohn-kanade-images/S045/003/S045_003_00000017.png,S045_003_00000017,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,positive
S045,4,15,./cohn-kanade-images/S045/004/S045_004_00000015.png,S045_004_00000015,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,negative
S045,5,30,./cohn-kanade-images/S045/005/S045_005_00000030.png,S045_005_00000030,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,negative
S046,1,25,./cohn-kanade-images/S046/001/S046_001_00000025.png,S046_001_00000025,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,negative
S046,2,6,./cohn-kanade-images/S046/002/S046_002_00000006.png,S046_002_00000006,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S046,3,16,./cohn-kanade-images/S046/003/S046_003_00000016.png,S046_003_00000016,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,negative
S046,4,17,./cohn-kanade-images/S046/004/S046_004_00000017.png,S046_004_00000017,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,negative
S046,5,23,./cohn-kanade-images/S046/005/S046_005_00000023.png,S046_005_00000023,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S050,1,17,./cohn-kanade-images/S050/001/S050_001_00000017.png,S050_001_00000017,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,negative
S050,2,18,./cohn-kanade-images/S050/002/S050_002_00000018.png,S050_002_00000018,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,surprise
S050,3,21,./cohn-kanade-images/S050/003/S050_003_00000021.png,S050_003_00000021,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,negative
S050,4,21,./cohn-kanade-images/S050/004/S050_004_00000021.png,S050_004_00000021,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,negative
S050,5,13,./cohn-kanade-images/S050/005/S050_005_00000013.png,S050_005_00000013,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,negative
S050,6,23,./cohn-kanade-images/S050/006/S050_006_00000023.png,S050_006_00000023,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,positive
S051,1,24,./cohn-kanade-images/S051/001/S051_001_00000024.png,S051_001_00000024,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,negative
S051,2,19,./cohn-kanade-images/S051/002/S051_002_00000019.png,S051_002_00000019,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,surprise
S051,3,18,./cohn-kanade-images/S051/003/S051_003_00000018.png,S051_003_00000018,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,negative
S052,1,15,./cohn-kanade-images/S052/001/S052_001_00000015.png,S052_001_00000015,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S052,2,22,./cohn-kanade-images/S052/002/S052_002_00000022.png,S052_002_00000022,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,negative
S052,3,19,./cohn-kanade-images/S052/003/S052_003_00000019.png,S052_003_00000019,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,negative
S052,4,33,./cohn-kanade-images/S052/004/S052_004_00000033.png,S052_004_00000033,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S052,6,13,./cohn-kanade-images/S052/006/S052_006_00000013.png,S052_006_00000013,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,negative
S053,1,23,./cohn-kanade-images/S053/001/S053_001_00000023.png,S053_001_00000023,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S053,3,65,./cohn-kanade-images/S053/003/S053_003_00000065.png,S053_003_00000065,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,negative
S053,4,24,./cohn-kanade-images/S053/004/S053_004_00000024.png,S053_004_00000024,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,positive
S054,1,20,./cohn-kanade-images/S054/001/S054_001_00000020.png,S054_001_00000020,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,positive
S054,2,15,./cohn-kanade-images/S054/002/S054_002_00000015.png,S054_002_00000015,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,negative
S054,3,7,./cohn-kanade-images/S054/003/S054_003_00000007.png,S054_003_00000007,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,surprise
S054,4,24,./cohn-kanade-images/S054/004/S054_004_00000024.png,S054_004_00000024,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,negative
S055,1,12,./cohn-kanade-images/S055/001/S055_001_00000012.png,S055_001_00000012,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S055,2,25,./cohn-kanade-images/S055/002/S055_002_00000025.png,S055_002_00000025,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,negative
S055,3,9,./cohn-kanade-images/S055/003/S055_003_00000009.png,S055_003_00000009,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,negative
S055,4,28,./cohn-kanade-images/S055/004/S055_004_00000028.png,S055_004_00000028,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,negative
S055,5,45,./cohn-kanade-images/S055/005/S055_005_00000045.png,S055_005_00000045,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S055,6,8,./cohn-kanade-images/S055/006/S055_006_00000008.png,S055_006_00000008,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,negative
S056,1,16,./cohn-kanade-images/S056/001/S056_001_00000016.png,S056_001_00000016,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,negative
S056,2,10,./cohn-kanade-images/S056/002/S056_002_00000010.png,S056_002_00000010,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,negative
S056,3,10,./cohn-kanade-images/S056/003/S056_003_00000010.png,S056_003_00000010,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S056,4,20,./cohn-kanade-images/S056/004/S056_004_00000020.png,S056_004_00000020,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,positive
S057,1,19,./cohn-kanade-images/S057/001/S057_001_00000019.png,S057_001_00000019,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,surprise
S057,2,15,./cohn-kanade-images/S057/002/S057_002_00000015.png,S057_002_00000015,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,negative
S057,3,15,./cohn-kanade-images/S057/003/S057_003_00000015.png,S057_003_00000015,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,negative
S057,4,20,./cohn-kanade-images/S057/004/S057_004_00000020.png,S057_004_00000020,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,negative
S057,5,35,./cohn-kanade-images/S057/005/S057_005_00000035.png,S057_005_00000035,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,negative
S057,6,33,./cohn-kanade-images/S057/006/S057_006_00000033.png,S057_006_00000033,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S058,1,20,./cohn-kanade-images/S058/001/S058_001_00000020.png,S058_001_00000020,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S058,2,22,./cohn-kanade-images/S058/002/S058_002_00000022.png,S058_002_00000022,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,positive
S058,3,15,./cohn-kanade-images/S058/003/S058_003_00000015.png,S058_003_00000015,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,negative
S058,5,10,./cohn-kanade-images/S058/005/S058_005_00000010.png,S058_005_00000010,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,negative
S058,6,18,./cohn-kanade-images/S058/006/S058_006_00000018.png,S058_006_00000018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
S059,1,18,./cohn-kanade-images/S059/001/S059_001_00000018.png,S059_001_00000018,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S059,2,17,./cohn-kanade-images/S059/002/S059_002_00000017.png,S059_002_00000017,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,negative
S059,3,36,./cohn-kanade-images/S059/003/S059_003_00000036.png,S059_003_00000036,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,negative
S060,1,20,./cohn-kanade-images/S060/001/S060_001_00000020.png,S060_001_00000020,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,negative
S060,2,26,./cohn-kanade-images/S060/002/S060_002_00000026.png,S060_002_00000026,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S060,3,18,./cohn-kanade-images/S060/003/S060_003_00000018.png,S060_003_00000018,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S060,5,21,./cohn-kanade-images/S060/005/S060_005_00000021.png,S060_005_00000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
S061,1,12,./cohn-kanade-images/S061/001/S061_001_00000012.png,S061_001_00000012,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S061,2,15,./cohn-kanade-images/S061/002/S061_002_00000015.png,S061_002_00000015,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S061,4,22,./cohn-kanade-images/S061/004/S061_004_00000022.png,S061_004_00000022,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,negative
S062,1,17,./cohn-kanade-images/S062/001/S062_001_00000017.png,S062_001_00000017,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,negative
S062,2,16,./cohn-kanade-images/S062/002/S062_002_00000016.png,S062_002_00000016,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S062,3,24,./cohn-kanade-images/S062/003/S062_003_00000024.png,S062_003_00000024,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,negative
S062,4,24,./cohn-kanade-images/S062/004/S062_004_00000024.png,S062_004_00000024,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,positive
S062,5,29,./cohn-kanade-images/S062/005/S062_005_00000029.png,S062_005_00000029,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,negative
S063,1,13,./cohn-kanade-images/S063/001/S063_001_00000013.png,S063_001_00000013,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S063,2,23,./cohn-kanade-images/S063/002/S063_002_00000023.png,S063_002_00000023,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,positive
S064,1,12,./cohn-kanade-images/S064/001/S064_001_00000012.png,S064_001_00000012,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,surprise
S064,2,29,./cohn-kanade-images/S064/002/S064_002_00000029.png,S064_002_00000029,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,negative
S064,3,25,./cohn-kanade-images/S064/003/S064_003_00000025.png,S064_003_00000025,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,positive
